TypForetag,Placeringstillgangar,ContentsCode,Tid,value
Total,7.3.7 Non-financial enterprises,"Stock values, MSEK",2024K2,55931
Total,7.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K1,11030
Total,7.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K2,12402
Total,7.4 Issued by foreign borrowers,"Stock values, MSEK",2024K1,26277
Total,7.4 Issued by foreign borrowers,"Stock values, MSEK",2024K2,27087
Total,8. Land and buildings,"Stock values, MSEK",2024K1,84824
Total,8. Land and buildings,"Stock values, MSEK",2024K2,82434
Total,8.1 Swedish,"Stock values, MSEK",2024K1,84818
Total,8.1 Swedish,"Stock values, MSEK",2024K2,82429
Total,8.2 Foreign,"Stock values, MSEK",2024K1,6
Total,8.2 Foreign,"Stock values, MSEK",2024K2,5
Total,9. Derivatives,"Stock values, MSEK",2024K1,16807
Total,9. Derivatives,"Stock values, MSEK",2024K2,23624
Total,10. Repurchase agreements,"Stock values, MSEK",2024K1,28627
Total,10. Repurchase agreements,"Stock values, MSEK",2024K2,17689
Total,11. Other financial investments,"Stock values, MSEK",2024K1,53304
Total,11. Other financial investments,"Stock values, MSEK",2024K2,20544
Total,12. Total capital investments,"Stock values, MSEK",2024K1,7530054
Total,12. Total capital investments,"Stock values, MSEK",2024K2,7615140
Life insurance companies,1. Cash at bank and in hand,"Stock values, MSEK",2024K1,120916
Life insurance companies,1. Cash at bank and in hand,"Stock values, MSEK",2024K2,130137
Life insurance companies,1.1 Swedish banks,"Stock values, MSEK",2024K1,106513
Life insurance companies,1.1 Swedish banks,"Stock values, MSEK",2024K2,111412
Life insurance companies,1.2 Foreign banks,"Stock values, MSEK",2024K1,14403
Life insurance companies,1.2 Foreign banks,"Stock values, MSEK",2024K2,18725
Life insurance companies,2. Money market instruments,"Stock values, MSEK",2024K1,96388
Life insurance companies,2. Money market instruments,"Stock values, MSEK",2024K2,71343
Life insurance companies,2.1 Issued in SEK,"Stock values, MSEK",2024K1,95811
Life insurance companies,2.1 Issued in SEK,"Stock values, MSEK",2024K2,70777
Life insurance companies,2.2 Issued in foreign currency,"Stock values, MSEK",2024K1,578
Life insurance companies,2.2 Issued in foreign currency,"Stock values, MSEK",2024K2,565
Life insurance companies,2.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K1,94818
Life insurance companies,2.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K2,70777
Life insurance companies,2.3.1 Government,"Stock values, MSEK",2024K1,26149
Life insurance companies,2.3.1 Government,"Stock values, MSEK",2024K2,24752
Life insurance companies,2.3.2 Municipalities and regions,"Stock values, MSEK",2024K1,0
Life insurance companies,2.3.2 Municipalities and regions,"Stock values, MSEK",2024K2,0
Life insurance companies,2.3.3 Banks (MFI),"Stock values, MSEK",2024K1,351
Life insurance companies,2.3.3 Banks (MFI),"Stock values, MSEK",2024K2,0
Life insurance companies,2.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K1,0
Life insurance companies,2.3.4 Housing credit institutions (MFI),"Stock values, MSEK",2024K2,0
Life insurance companies,2.3.5 Other MFI,"Stock values, MSEK",2024K1,63000
Life insurance companies,2.3.5 Other MFI,"Stock values, MSEK",2024K2,41996
